TagName,Edu Standard,TM Track Name,Grade
EDUM-646,HSG.C.A.1,Circle Similarity,"9,10,11,12"
EDUM-647,HSG.C.A.2,Identifying Relationships among Angles,"9,10,11,12"
EDUM-648,HSG.C.A.2,Identifying Relationships among Radii and Chords,"9,10,11,12"
EDUM-649,HSG.C.A.2,Theorems for Angles and Circles,"9,10,11,12"
EDUM-650,HSG.C.A.3,Triangles and Quadrilaterals Inscribed in a Circle,"9,10,11,12"
EDUM-651,HSG.C.A.4,Constructing a Tangent,"9,10,11,12"
EDUM-652,HSG.C.B.5,Arc Lengths,"9,10,11,12"
EDUM-653,HSG.C.B.5,Area of Sectors,"9,10,11,12"
EDUM-654,HSG.C.B.5,Constant of Proportionality,"9,10,11,12"
EDUM-655,HSG.CO.A.1,Definitions of Geometric Objects,"9,10,11,12"
EDUM-656,HSG.CO.C.10,Theorems about Triangles,"9,10,11,12"
EDUM-657,HSG.CO.C.11,Theorems about Parallelograms,"9,10,11,12"
EDUM-658,HSG.CO.D.12,Formal Geometric Constructions,"9,10,11,12"
EDUM-659,HSG.CO.D.13,Constructing Inscribed Figures,"9,10,11,12"
EDUM-660,HSG.CO.A.2,Properties of Transformations,"9,10,11,12"
EDUM-661,HSG.CO.A.2,Transforming Figures,"9,10,11,12"
EDUM-662,HSG.CO.A.3,Mapping Figures onto Themselves,"9,10,11,12"
EDUM-663,HSG.CO.A.4,Transformations in the Plane,"9,10,11,12"
EDUM-664,HSG.CO.A.5,Sequences of Transformations,"9,10,11,12"
EDUM-665,HSG.CO.B.6,Investigating Figures Related by Transformations,"9,10,11,12"
EDUM-666,HSG.CO.B.7,Rigid Motions and Congruent Triangles,"9,10,11,12"
EDUM-667,HSG.CO.B.8,Proving Triangles are Congruent,"9,10,11,12"
EDUM-668,HSG.CO.C.9,Theorems about Lines and Angles,"9,10,11,12"
EDUM-669,HSG.GMD.A.1,Relating Area Circumference and Volume,"9,10,11,12"
EDUM-670,HSG.GMD.A.3,Volume of Cylinders Pyramids Cones and Spheres,"9,10,11,12"
EDUM-671,HSG.GMD.B.4,Identifying Cross-Sections,"9,10,11,12"
EDUM-672,HSG.GPE.A.1,Deriving Circle Equations,"9,10,11,12"
EDUM-673,HSG.GPE.A.2,Deriving Parabola Equations,"9,10,11,12"
EDUM-674,HSG.GPE.B.4,Theorems about Circles,"9,10,11,12"
EDUM-675,HSG.GPE.B.4,Theorems about Quadrilaterals,"9,10,11,12"
EDUM-676,HSG.GPE.B.5,Slopes of Parallel and Perpendicular Lines,"9,10,11,12"
EDUM-677,HSG.GPE.B.6,Identifying Attributes of Line Segments,"9,10,11,12"
EDUM-678,HSG.GPE.B.7,Coordinate Geometry and Area,"9,10,11,12"
EDUM-679,HSG.GPE.B.7,Coordinate Geometry and Perimeter,"9,10,11,12"
EDUM-680,HSG.MG.A.1,Using Geometric Shapes to Describe Objects,"9,10,11,12"
EDUM-681,HSG.MG.A.2,Density in Modeling Situations,"9,10,11,12"
EDUM-682,HSG.MG.A.3,Solving Design Problems,"9,10,11,12"
EDUM-683,HSG.SRT.D.10,The Laws of Sines and Cosines,"9,10,11,12"
EDUM-684,HSG.SRT.D.11,Applying the Laws of Sines and Cosines,"9,10,11,12"
EDUM-685,HSG.SRT.A.1.a,Dilation Given by a Center,"9,10,11,12"
EDUM-686,HSG.SRT.A.1.b,Dilation Given by a Scale Factor,"9,10,11,12"
EDUM-687,HSG.SRT.A.2,Definition of Similarity,"9,10,11,12"
EDUM-688,HSG.SRT.A.3,Understanding the AA Theorem,"9,10,11,12"
EDUM-689,HSG.SRT.B.4,Theorems Involving Similarity,"9,10,11,12"
EDUM-690,HSG.SRT.B.5,Problem Solving: Similarity and Congruence,"9,10,11,12"
EDUM-691,HSG.SRT.C.6,Defining Trigonometric Ratios,"9,10,11,12"
EDUM-692,HSG.SRT.C.7,Understanding the Relationship between Sine and Cosine,"9,10,11,12"
EDUM-693,HSG.SRT.C.8,Solving Right Triangle Problems,"9,10,11,12"
EDUM-694,HSG.SRT.D.9,Area of Triangles Involving Sine,"9,10,11,12"
EDUM-695,HSS.CP.A.1,Subsets of Sample Spaces,"9,10,11,12"
EDUM-696,HSS.CP.A.2,Independent Events,"9,10,11,12"
EDUM-697,HSS.CP.A.3,Determining Independent Events,"9,10,11,12"
EDUM-698,HSS.CP.A.4,Two-Way Frequency Tables,"9,10,11,12"
EDUM-699,HSS.CP.A.5,Applying Conditional Probability,"9,10,11,12"
EDUM-700,HSS.CP.B.6,Modeling Conditional Probability,"9,10,11,12"
EDUM-701,HSS.CP.B.7,The Addition Rule,"9,10,11,12"
EDUM-702,HSS.CP.B.8,The Multiplication Rule,"9,10,11,12"
EDUM-703,HSS.CP.B.9,Permutations and Combinations,"9,10,11,12"
EDUM-704,HSS.MD.B.6,Making Fair Decisions,"9,10,11,12"
EDUM-705,HSS.MD.B.7,Decision Analysis,"9,10,11,12"
