TagName,Grade,Edu Standard,TM Track Name
EDUM-403,7,7.EE.A.1,Solve & Expand: Linear Expressions with Rational Coefficients
EDUM-404,7,7.EE.A.2,Identifying Multiple Forms of an Expression
EDUM-405,7,7.EE.B.3,Properties of Operations
EDUM-406,7,7.EE.B.3,Properties of Operations: Rational Numbers-Word Problems
EDUM-407,7,7.EE.B.4.a,Comparing Algebraic Solutions to Arithmetic Solutions
EDUM-408,7,7.EE.B.4.a,Reviewing One-Step Linear Equations
EDUM-409,7,7.EE.B.4.a,Solving Multi-Step Equations with Fractions and Decimals
EDUM-410,7,7.EE.B.4.a,Solving Multi-Step Equations with Integers
EDUM-411,7,7.EE.B.4.a,Solving One-Step Equations: Addition and Subtraction
EDUM-412,7,7.EE.B.4.a,Solving One-Step Equations: Multiplication and Division
EDUM-413,7,7.EE.B.4.a,Using Equations to Solve Word Problems
EDUM-414,7,7.EE.B.4.b,Solving Inequalities
EDUM-415,7,7.G.A.1,Proportional Reasoning with Scale Drawings
EDUM-416,7,7.G.A.2,Geometric Constructions
EDUM-417,7,7.G.A.3,Plane Sections of Rectangular Prisms and Pyramids
EDUM-418,7,7.G.B.4,Area and Circumference of a Circle
EDUM-419,7,7.G.B.5,Solving for Unknown Angles
EDUM-420,7,7.G.B.6,Finding Area
EDUM-421,7,7.G.B.6,"Finding Area, Volume, Surface Area of Composite Figures"
EDUM-422,7,7.G.B.6,Finding Perimeter
EDUM-423,7,7.G.B.6,Finding Surface Area
EDUM-424,7,7.G.B.6,Finding Volume
EDUM-425,7,7.NS.A.1.a,Understanding and Identifying Opposite Quantities
EDUM-426,7,7.NS.A.1.b,Understanding Addition of Rational Numbers
EDUM-427,7,7.NS.A.1.c,Understanding Subtraction of Rational Numbers
EDUM-428,7,7.NS.A.1.d,Adding and Subtracting Integers
EDUM-429,7,7.NS.A.1.d,Applying Addition and Subtraction to Rational Numbers
EDUM-430,7,7.NS.A.2.a,Applying Multiplication to Integers and Fractions
EDUM-431,7,7.NS.A.2.a,Understanding Multiplication of Fractions
EDUM-432,7,7.NS.A.2.a,Understanding Multiplication of Rational Numbers
EDUM-433,7,7.NS.A.2.b,Applying Division to Integers and Fractions
EDUM-434,7,7.NS.A.2.b,Understanding Division of Fractions
EDUM-435,7,7.NS.A.2.b,Understanding Division of Integers
EDUM-436,7,7.NS.A.2.c,Applying Multiplication and Division to Rational Numbers
EDUM-437,7,7.NS.A.2.d,Converting Rational Numbers to Decimals
EDUM-438,7,7.NS.A.3,Number Sentences with Rational Numbers
EDUM-439,7,7.SP.A.1,Understanding and Inferring Sample Data
EDUM-440,7,7.SP.A.2,Inferring Variation in Data Samples
EDUM-441,7,7.SP.B.3,Understanding Overlap of Data Distributions
EDUM-442,7,7.SP.B.4,Using Measures of Center and Variability to Draw Inferences
EDUM-443,7,7.SP.B.4,Using Measures of Center to Draw Inferences
EDUM-444,7,7.SP.C.5,Understanding the Probability of an Event
EDUM-445,7,7.SP.C.6,Approximating the Probability of an Event
EDUM-446,7,7.SP.C.7.a,Using Uniform Models to Calculate Probability
EDUM-447,7,7.SP.C.7.b,Identifying a Probability Model
EDUM-448,7,7.SP.C.8.a,Understanding Compound Events
EDUM-449,7,7.SP.C.8.b,Identifying the Probability of Compound Events
