TagName,Edu Standard,TM Standard Name,Grade
EDUM-222,4.G.A.1,"Lines, Segments, and Angles",4
EDUM-223,4.G.A.1,Properties of Two-Dimensional Figures,4
EDUM-224,4.G.A.2,Classifying Triangles,4
EDUM-225,4.G.A.2,Identifying 2-D Figures,4
EDUM-226,4.G.A.2,Identifying 2-D Figures Using Angles,4
EDUM-227,4.G.A.2,Identifying 2-D Figures Using Sides,4
EDUM-228,4.G.A.3,Lines of Symmetry Assign,4
EDUM-229,4.MD.A.1,Converting Units of Time,4
EDUM-230,4.MD.A.1,Customary & Metric Capacity,4
EDUM-231,4.MD.A.1,Customary & Metric Weight,4
EDUM-232,4.MD.A.1,Customary Length,4
EDUM-233,4.MD.A.1,Metric Length,4
EDUM-234,4.MD.A.2,Word Problems Involving Intervals of Time,4
EDUM-235,4.MD.A.2,Word Problems Involving Length and Distance,4
EDUM-236,4.MD.A.2,Word Problems Involving Masses and Liquid Volumes,4
EDUM-237,4.MD.A.2,Word Problems Involving Money,4
EDUM-238,4.MD.A.3,Finding Areas and Missing Side Lengths,4
EDUM-239,4.MD.A.3,Finding Perimeters and Missing Side Lengths,4
EDUM-240,4.MD.A.3,The Relationship Between Area and Perimeter,4
EDUM-241,4.MD.B.4,Addition and Subtraction of Fractions Using Line Plots,4
EDUM-242,4.MD.C.5.a,Understanding Angle Measures and Circles,4
EDUM-243,4.MD.C.5.b,Solving Problems Involving Angle Measures and Circles,4
EDUM-244,4.MD.C.6,Measuring Angles with a Protractor,4
EDUM-245,4.MD.C.7,Adding and Subtracting Angles,4
EDUM-246,4.NBT.A.1,Multiplying by Powers of Ten,4
EDUM-247,4.NBT.A.1,Relating Place Value and Multiples of 10,4
EDUM-248,4.NBT.A.2,Comparing Whole Numbers,4
EDUM-249,4.NBT.A.2,Express Numbers: Standard or Expanded Form to Words,4
EDUM-250,4.NBT.A.2,Express Numbers: Standard or Word Form to Expanded Form,4
EDUM-251,4.NBT.A.2,Ordering Numbers,4
EDUM-252,4.NBT.A.2,"State Numbers: Expanded, Word, Visual, and Standard Forms",4
EDUM-253,4.NBT.A.3,Estimating Products and Quotients,4
EDUM-254,4.NBT.A.3,Estimating Sums and Differences,4
EDUM-255,4.NBT.A.3,Rounding Whole Numbers,4
EDUM-256,4.NBT.A.3,Rounding Whole Numbers Using Representations,4
EDUM-257,4.NBT.B.4,Addition and Subtraction Using Standard Algorithm,4
EDUM-258,4.NBT.B.5,Area Models to Multiply,4
EDUM-259,4.NBT.B.5,Base-Ten Blocks to Multiply,4
EDUM-260,4.NBT.B.5,Basic Multiplication Review with Arrays,4
EDUM-261,4.NBT.B.5,Equations and Multiplication,4
EDUM-262,4.NBT.B.5,Solve Word Problems Using Multiplication Strategies,4
EDUM-263,4.NBT.B.6,Relating Multiplication and Division,4
EDUM-264,4.NBT.B.6,Solve Word Problems Involving Division,4
EDUM-265,4.NBT.B.6,Understanding Division Using Models and Strategies,4
EDUM-266,4.NF.A.1,Creating Equivalent Fractions,4
EDUM-267,4.NF.A.1,Identifying Equivalent Fractions Using Visuals,4
EDUM-268,4.NF.A.2,Strategies for Comparing Fractions,4
EDUM-269,4.NF.B.3.a,Joining and Separating Parts of the Same Whole,4
EDUM-270,4.NF.B.3.b,Representing Fractions,4
EDUM-271,4.NF.B.3.c,Addition and Subtraction of Mixed Numbers,4
EDUM-272,4.NF.B.3.c,Strategies for Adding and Subtracting Mixed Numbers,4
EDUM-273,4.NF.B.3.d,Addition and Subtraction of Fractions with Visuals,4
EDUM-274,4.NF.B.4.a,Fractions as Multiples,4
EDUM-275,4.NF.B.4.b,Multiplication of a Fraction by a Whole Number,4
EDUM-276,4.NF.B.4.c,Solve Word Problems: Multiply a Fraction & Whole Number,4
EDUM-277,4.NF.C.5,Fractions: Denominator of 10 or 100,4
EDUM-278,4.NF.C.6,Decimal Notation and Fractions,4
EDUM-279,4.NF.C.7,Comparing Decimals,4
EDUM-280,4.OA.A.1,Understanding Multiplicative Comparisons,4
EDUM-281,4.OA.A.2,Multiplication and Division to Solve Word Problems,4
EDUM-282,4.OA.A.2,"Relate: Multiply & Divide, Multiply & Add",4
EDUM-283,4.OA.A.3,Solve Problems Using the Four Operations (No Estimation),4
EDUM-284,4.OA.A.3,Solve Problems Using the Four Operations & Estimation,4
EDUM-285,4.OA.B.4,Factors,4
EDUM-286,4.OA.B.4,Multiples and Divisibility,4
EDUM-287,4.OA.B.4,Understanding Prime and Composite Numbers,4
EDUM-288,4.OA.C.5,Identifying Number Patterns,4
EDUM-289,4.OA.C.5,Number Patterns and Word Problems,4
EDUM-290,4.OA.C.5,Shape Patterns,4
